Аверьянова;Екатерина Владимировна;Телеканал «Звезда» Фотокорреспондент
Адам;Ханна Киваркис;Информационное агентство «САНА» Корреспондент
Адиб;Мохаммад Хасан Аль-Сайед;Информационное агентство «КУНА» Корреспондент
Акбаров;Фарид Исмайыл оглу;Общественная Телерадиовещательная компания Азербайджанской Республики Специальный корреспондент
Ал;Мардини Мхд Ферас;Телекомпания «Эм-Би-Эн» Корреспондент
Алтеркоп;Михаил Владимирович;Телеканал «Россия-1 Вести» Продюсер
Аль;Шалан Марина Викторовна;ИА «Спутник» Продюсер
Антонов;Дмитрий Альбертович;Рейтер Корреспондент
Афюнизаде;Эсфахани Мохаммадали;Гостелерадио Исламской Республики Иран Переводчик
Ахвледиани;Давид Грузия;ТВ «Альт-Инфо» Корреспондент
Багаева;Анастасия Викторовна;Телекомпания «Эй-Би-Си Ньюс» Продюсер
Байгарова;Ксения Сергеевна;Агентство «Интерфакс» Специальный корреспондент
Байкова;Татьяна Дмитриевна; Газета «Известия» Редактор
Балдин;Игорь Александрович;РЕН ТВ Корреспондент
Бандура;Дмитрий Юрьевич;Газета «Никкей» Продюсер
Бегларян;Арпи;ИА «Спутник» Корреспондент
Бедняков;Павел Викторович;МИА «Россия сегодня» Фотокорреспондент
Белозерцева;Мария Сергеевна;Телеканал «Россия -1 Соловьев Live» Корреспондент
Белоусова;Петровская Дарья;«Национальная государственная телерадиокомпания» Корреспондент
Бердникова;Светлана Васильевна;Телекомпания «Си-Би-Эс» продюсер
Бетина;Анастасия Витальевна;Телеканал «РБК» Корреспондент
Бигальке;Зильке Ирмгард;Газета «Зюддойче Цайтунг» Корреспондент
Биятов;Евгений Сергеевич;МИА «Россия сегодня»Фотокорреспондент
Бодрова;Россина Алексеевна;Телеканал «Звезда» Корреспондент
Болотский;Денис Сергеевич;ИА «Спутник» Корреспондент
Булатов;Иван Владимирович;МИА «Россия сегодня» Продюсер
Булкин;Сергей Юрьевич;Портал «NEWS.ru» Фотокорреспондент
Вавилов;Константин Александрович;«Первый канал» Корреспондент
Валова;Эвелина  Антоновна;Молодежный канал Дипломатической академии МИД России «Да, студенчество» Продюсер
Ван;Дэлу;Медиакорпорация Китая Корреспондент
Васильева;Мария Геннадьевна;Газета «Известия» Корреспондент
Васина;Екатерина Борисовна;Телеканал «Звезда» Продюсер
Вербицкая;Юлия Александровна;Телеканал «БелРос ТВ» Корреспондент
Вернон;Уильям;Би-Би-Си Продюсер
Волков;Максим Юрьевич;Телеканал «ОТР» Корреспондент
Воробьев;Владислав Евгеньевич;Газета «Аргументы и факты» Специальный корреспондент
Воронина;Татьяна Игоревна;Телеканал «ТВ-3 Телевисьо де Каталунья» Продюсер
Гаврилов;Игорь Леонидович;Саппоро телевижн бродкастинг Продюсер
Галиева;Татьяна Сергеевна;Журнал «Типичная Москва» Корреспондент
Гауфман;Вера Борисовна;Телеканал «RT» Корреспондент
Геворгян;Мери Арменовна;Газета «Дзи-Дзи Пресс» Корреспондент
Германова;Ольга Юрьевна;Телекомпания «Фудзи» Переводчик
Гершкович;Эван;Журнал «Уолл Стрит Джорнал» Корреспондент
Головко;Алексей Сергеевич;Телеканал «Россия-1 Вести» Корреспондент
Горобец;Александр Евгеньевич;Журнал «Муниципальная Академия» Корреспондент
Григоров;Ангел Ангелов;Болгарское национальное радио Шеф-корреспондент
Григорьев;Егор Вадимович;Телеканал «Россия 24»Корреспондент
Гунеев;Сергей Геннадиевич;МИА «Россия сегодня» Фотокорреспондент
Гэн;Пэнъюй;Агентство «Синьхуа» Корреспондент
Гэн;Пэнъюй;Агентство «Синьхуа» Корреспондент
Дараби;Сейед Али;Гостелерадио Исламской Республики Иран Корреспондент
Дашенко;Алексей Алексеевич;Телеканал«ОТР» Корреспондент
Дегтярев;Алексей Петрович;Телеканал «Звезда» Корреспондент
Дегтярев;Михаил Михайлович;АРД Продюсер
Джура;Али;Агентство «Анадолу» Шеф-корреспондент
Дзанконато;Альберто;Информационное агентство «АНСА» Шеф-корреспондент
Диас;Фумеро Одэтт;Агентство «Пренса Латина» Корреспондент
Дриди;Раня Шарифовна;Медиасеть «Аль-Джазира» Корреспондент
Егорян;Мэри Арутюновна;Общественное телевидение Армении Корреспондент
Елизарова;Евгения Евгеньевна;Телевидение «Феникс» Корреспондент
Жданов;Анатолий Алексеевич;Газета «Коммерсант» Корреспондент
Жуматов;Шамиль Галимович;Рейтер Фотокорреспондент
Зарубина;Наталья Николаевна;Телеканал «ОТР» Корреспондент
Захаров;Дмитрий Андреевич;Сетевое издание «World Russia» Главный редактор
Захарова;Мария Владимировна;Официальный представитель Министерства инстранных дел Российской Федерации
Зейналова;Рамина Агиловна;ИА «ТАСС» Корреспондент
Земляниченко;Александр Александрович;Агенство «Синьхуа» Фотокорреспондент
Земляниченко;Александр Вадимович;Агентство «Ассошиэйтед Пресс» Корреспондент
Зенцова;Мария Сергеевна;Телеканал «Россия-1  Вести» Продюсер
Зыскин;Роман;Телеканал «RT» Корреспондент
Иванов;Алексей Андреевич;Телеканал «Звезда» Фотокорреспондент
Иванов;Николай Лаврентьевич;РЕН ТВ Специальный корреспондент
Исикава;Ёхэй;Газета «Никкей» Шеф-корреспондент
Ишмухаметова;Зохра Захировна;ИА «Спутник» Корреспондент
Йесканен;Йенни Марика;газета «Хельсингин Саномат» Корреспондент
Кадобнов;Юрий Владимирович;Агентство «Франс-Пресс» Корреспондент
Камнакеш;Фахед;Информационное агентство «САНА» Шеф-корреспондент
Кармен;Максим Романович;Телекомпания «Эй-Би-Си Ньюс» корреспондент
Кассаб;Мохаммад ;Телеканал «RT» Корреспондент
Ключенков;Сергей Александрович;Телеканал «Россия -1 Соловьев Live» Корреспондент
Ковачич;Леонид Алексеевич;ИА «Спутник» Корреспондент
Кондакова;Евгения Игоревна;Портал «Украина.ру» Редактор
Конопко;Алексей Игоревич;Телеканал «Россия-1  Вести» Корреспондент
Коноплянко;Полина  Александровна;Газета «Московский комсомолец» Корреспондент
Корзун;Никита Валерьевич;Телекомпания «НТВ» Корреспондент
Коротовских;Дарья Александровна;Телеканал «Звезда» Продюсер
Косарева;Марина Владимировна;Телеканал «RT» Корреспондент
Кочетков;Юрий Евгеньевич;ЕПА Фотокорреспондент
Красавина;Майя Алексеевна;Телеканал «Россия -1 Соловьев Live» Корреспондент
Красильников;Кирилл Алексеевич;МИА «Россия Сегодня» Корреспондент
Краснов;Павел Андреевич;Первый канал Корреспондент
Кувамото;Футоси;Газета «Никкей» Корреспондент
Кузнецова;Екатерина Павловна;АРД Продюсер
Кукушкина;Татьяна Александровна;МИА «Россия сегодня» Специальный корреспондент
Кулагин;Александр Игоревич;Телекомпания «Ти-Би-Эс» Продюсер
Куракин;Михаил Борисович;Журнал «Международная жизнь» Корреспондент
Куртмулаев;Айдер Арипович;Журнал «Индустрия Евразии» Главный редактор
Лавров;Сергей Викторович;Министр Иностранных дел Российской Федерации
Лакруа;Люк;Телевидение «Франс – 2» Шеф-корреспондент
Лебедев;Валерий Георгиевич;Журнал «Вместе»/ «Медиаальянс русских сообществ» Корреспондент
Липкина;Марина Сергеевна;Портал «Open reporter» Фотокорреспондент
Лисова;Екатерина Сергеевна;Телеканал «RT» Продюсер
Лоськов;Аркадий Владимирович;ИА «Вестник Кавказа» Корреспондент
Лукашова;Виктория Анатольевна;Телеканал «РБК» Корреспондент
Луна;Родригес Кристина Андреевна;МИА «Россия сегодня» Корреспондент
Лю;Кай;Агентство «Синьхуа» Корреспондент
Магни;Диана Кристина;Скай Ньюс Корреспондент
Макарочкин;Алексей Андреевич;ГРЭГО Корреспондент
Малык;Кристина Александровна;ИА «Спутник» Продюсер
Малык;Кристина Александровна;ИА «Спутник»Продюсер
Маслак;Дмитрий Николаевич;Медиакорпорация Китая Корреспондент
Маэда;Ёхэй;Телекомпания «ТВ Асахи» Шеф-корреспондент
Мелехова;Дарья Андреевна;ИА «Вестник Кавказа» Корреспондент
Мельников;Антон Николаевич;Газета «Иомиури» Продюсер
Мельничук;Софья Аркадьевна;Телеканал «RT» Редактор
Минаева;Анастасия Николаевна;Телекомпания «Ти-Би-Эс» Переводчик
Мохова;Екатерина Владимировна;Сетевое издание «Посольская жизнь» Редактор
Мурин;Андрей Владимирович;ИА «Вестник Кавказа» Корреспондент
Муса;Адель Жорж;портал «Вся Россия» Главный редактор
Мустафа;Аммар;Информационное агентство «САНА» Корреспондент
Мухаммед; Ариж Абделькаримовна;Телеканал «Скай Ньюз Арабиа» Корреспондент
Напольский;Герман Вячеславович;Газета «Новый вторник» Корреспондент
Никитин;Никита Сергеевич;Информационное агентство «Киодо Цусин» Продюсер
Новикова;Мария Вадимовна;Телеканал «ОТР» Корреспондент
Новоженина;Евгения Сергеевна;Рейтер Корреспондент
Норисада;Такафуми;Газета «Хоккайдо Симбун» Шеф-корреспондент
Ноэль;Родригес;Телеканал «ТВ-3 Телевисьо де Каталунья» Корреспондент
Нуржанова;Дана Казахстан;Агентство «Хабар» Корреспондент
Оно;Синдзиро;Телекомпания «Ти-Би-Эс» Шеф-корреспондент
Онода;Юити;Газета «Санкэй Симбун» Шеф-корреспондент
Орлов;Кирилл Владимирович;ИА «Спутник» Продюсер
Очиров;Чингис Саянович;Телеканал «РБК» Корреспондент
Паниев;Юрий Николаевич;Независимая газета Главный редактор
Петров;Алексей Львович;Телеканал «Россия-1 Вести» Корреспондент
Петров;Дмитрий Владимирович;Телеканал «Россия-1  Вести» Корреспондент
Пивовар;Эдуард Анатольевич;Агентство «БЕЛТА» Корреспондент
Пинтеева;Варвара Евгеньевна;Телеканал «Россия 24» Корреспондент
Попова;Надежда Васильевна;Газета «The Moscow Post» Редактор
Постникова;Екатерина Андреевна;Телеканал «РБК» Специальный корреспондент
Репин;Борис Александрович;Телеканал «ОТР» Ассистент оператора
Решетнев;Евгений  Владимирович;Телеканал «Россия-1  Вести» Корреспондент
Ржанов;Игорь Святославович;Газета «Хоккайдо Симбун» Переводчик
Розенберг;Стивен;Би-Би-Си Корреспондент
Рукк;Ина Мария;АРД Корреспондент
Рустамов;Игбал Ильгар оглы;Агентство «Репорт» Корреспондент
Рустамова;Сона Эмин кызы; Портал «NEWS.ru» Корреспондент
Рылов;Юрий Алексеевич;ЦДФ Продюсер
Салех;Фади Салехович;Телекомпания «Аль-Машхад» Корреспондент
Сато;Тикамаса;Информационное агентство «Киодо Цусин» Шеф-корреспондент
Свиридов;Леонид Вадимович;МИА «Россия сегодня» Корреспондент
Седдон;Максимилиан;Газета «Файненшл Таймс» Корреспондент
Семенова;Анна Валерьевна;Телеканал «Россия-1  Вести» Корреспондент
Сенникова;Дария Александровна;Телеканал «Звезда» Корреспондент
Серджо;Паини;Телевидение «РАИ» Корреспондент
Сероухов;Владимир Дмитриевич;Телеканал «РБК» Корреспондент
Сигаева;Ксения Алексеевна;RTVI (диджитал-редакция) Специальный корреспондент
Симмонс;Анн Мария;Журнал «Уолл Стрит Джорнал» Корреспондент
Смирнов;Петр Олегович;Гостелерадио Исламской Республики Иран Переводчик
Соболь;Роман Алексеевич;Телекомпания «НТВ» Корреспондент
Солдаткин;Владимир Валентинович;Рейтер Корреспондент
Старостина; Мария Александровна;Телеканал «RT» Корреспондент
Столбова;Юлия Вениаминовна;Телеканал «БелРос» Редактор
Стукалова;Татьяна Борисовна;Телекомпания «Эй-Би-Си Ньюс» Продюсер
Суй;Синь;Газета «Жэньминь Жибао» Корреспондент
Сумина;Алина Александровна;Телекомпания «НТВ» Корреспондент
Сэкинэ;Хироки;Телекомпания «Фудзи» Шеф-корреспондент
Тамура;Ю;Газета «Иомиури» Корреспондент
Тимука;Татьяна Виктровна;Газета «Аргументы недели» Корреспондент
Титова;Надежда Владимировна;Телерадиокомпания «Юлейсрадио» продюсер
Тоаме;Катя Битан;Телеканал «Аль- Арабия» Корреспондент
Того;Тацуро;Саппоро телевижн бродкастинг Шеф-корреспондент
Тюбурн;Дарио Италия  ;Агентство «Франс-Пресс» Шеф-корреспондент
Усанова;Анна Сергеевна;Информационное агентство «Москва-Баку» Корреспондент
Устинова;Анастасия Александровна;ЦДФ Продюсер
Фан;Фэй;Телеканал «RT» Корреспондент
Федорчак;Наталья Павловна;Телеканал «Звезда» Корреспондент
Феррас;Альварес Герман Эрмин;Агентство «Пренса Латина» Шеф-корреспондент
Фолконбридж;Гай;Рейтер корреспондент
Фон;Остен Демиан Марвин Ингмар;АРД Корреспондент
Хавлла;Хошави Мухаммад Хавлла;Телеканал «Курдистан 24» Шеф-корреспондент
Хаж;Али Ахмад Атеф;Телеканал «Аль- Маядин» Шеф-корреспондент
Халаф; Саад;Телеканал «Аль-Арабия» Корреспондент
Халили; Дияля Нассеровна;Телеканал «Ашарк Ньюс» Шеф-корреспондент
Хамдани; Иштек  Сайед Хуссейн;Телеканал «Пакистанское телевидение» Корреспондент
Харасахал;Василиса Николаевна;Медиаинициатива «Россия Друг» (Дипломатическая академия) Корреспондент
Хаукссон;Хаукур;Радио «САГА» Шеф-корреспондент
Хебель;Кристина;Журнал «Шпигель» Корреспондент
Хейсканен;Хейкки Матти Аксели;Телерадиокомпания «Юлейсрадио» Корреспондент
Хираива;Такахико;Газета «Дзи-Дзи Пресс» Шеф-корреспондент
Холм;Гро;«Норвежская радиовещательная корпорация» (НРК) Корреспондент
Христенко;Александр  Викторович;Телеканал «Россия-1  Вести» Корреспондент
Цао;Ян;Агентство «Синьхуа» Фотокорреспондент
Циолиас;Афанассиос;Телеканал «Опен ТВ» Корреспондент
Чо;Битна ;Телерадиокомпания «Кей-Би-Эс» Шеф-корреспондент
Шакалова;Ксения Сергеевна;ИА «Спутник» Корреспондент
Шакризянов;Марат Ильдусович;Сетевое издание «Посольская жизнь» Главный редактор
Шарифулин;Валерий Валерьевич;ИА «ТАСС» Фотокорреспондент
Шварцман;Валентина Викторовна;Портал «Лента.ру» Корреспондент
Шувалова;Елизавета Владимировна;Би-Би-Си Продюсер
Щелкунов;Глеб Борисович;Коммерсантъ Фотокорреспондент
Щербак;Александр Анатольевич;ТАСС Фотокорреспондент
Щетинина;Ольга Михайловна;Портал «Оverworldnews.com» Специальный корреспондент
Эйбоженко;Алексей Сергеевич;ИА «Интерфакс» Корреспондент
Эль;Хашими Надия;Агентство «Магреб Араб Пресс» (МАП) Корреспондент
Эстевес;Ана-Ливия Араужо;МИА «Россия Сегодня» Корреспондент
Юреа;Ливиу;«ТВ Румынии» Корреспондент